resource_id	category	status	declared_license	declared_tier	inferred_license	inferred_tier	inferred_from	unresolved_sources
ibkh	KnowledgeGraph	inferred			https://conservancy.umn.edu/handle/11299/204783	custom	ctd|idisk|kegg	
icees-kg	KnowledgeGraph	inferred			https://uts.nlm.nih.gov/uts/	custom	umls	
ickg	KnowledgeGraph	inferred			https://www.ncbi.nlm.nih.gov/home/about/policies/	public domain	pubmed	
identifier-mappings	KnowledgeGraph	inferred			https://creativecommons.org/publicdomain/zero/1.0/	public domain	wikidata	
idisk	KnowledgeGraph	no-upstream	https://conservancy.umn.edu/handle/11299/204783	custom				
ikraph	KnowledgeGraph	declared	https://creativecommons.org/licenses/by/4.0/	permissive	https://www.ncbi.nlm.nih.gov/home/about/policies/	public domain	pubmed	
imex	Aggregator	declared	https://creativecommons.org/licenses/by/4.0/	permissive	https://creativecommons.org/licenses/by/4.0/	permissive	intact	
imo-knowledge-graph	KnowledgeGraph	declared	https://www.imohealth.com/terms-of-use/	custom	https://www.ama-assn.org/about/terms-use	custom	cpt|loinc|snomedct	icd10|rxnorm
indra	Aggregator	conflict	https://opensource.org/licenses/BSD-2-Clause	permissive	https://www.disgenet.com/Legal	custom	disgenet	cellmarker
insight	KnowledgeGraph	no-upstream						
intact	Aggregator	conflict	https://creativecommons.org/licenses/by/4.0/	permissive	https://dip.doe-mbi.ucla.edu/dip/Download.cgi	custom	hpidb	afcs
irefindex	Aggregator	inferred			https://dip.doe-mbi.ucla.edu/dip/Download.cgi	custom	dip	bind
kg-alzheimers	KnowledgeGraph	conflict	https://creativecommons.org/publicdomain/zero/1.0/	public domain	https://www.alliancegenome.org/privacy-warranty-licensing	custom	alliance|ctd|xenbase	dictybase|monarchinitiative|panther|rgd
kg-bioportal	Aggregator	declared	https://www.bioontology.org/terms/	custom	https://www.bioontology.org/terms/	custom	bioportal	
kg-covid-19	KnowledgeGraph	conflict	https://opensource.org/license/bsd-3-clause	permissive	CORD-19 dataset license (per-article licenses; see dataset license agreement)	custom	cord-19	
kg-ebi-gene2pheno	KnowledgeGraph	declared	https://www.ebi.ac.uk/about/terms-of-use/	custom	https://www.ebi.ac.uk/about/terms-of-use/	custom	gene2phenotype|omim	
kg-enp	KnowledgeGraph	declared	https://creativecommons.org/publicdomain/zero/1.0/legalcode	public domain	https://creativecommons.org/publicdomain/zero/1.0/legalcode	public domain	lotus|wikidata	gnps
kg-fm	KnowledgeGraph	inferred			https://clarivate.com/legal-center/terms-of-business/product-service-terms/	custom	web-of-science	
kg-idg	KnowledgeGraph	conflict	https://opensource.org/license/bsd-3-clause	permissive	https://www.omim.org/help/agreement	custom	omim	atc
kg-jensenlab-diseases	KnowledgeGraph	inferred			https://cancer.sanger.ac.uk/cosmic/license	custom	cosmic	medlineplus
kg-microbe	KnowledgeGraph	conflict	https://opensource.org/license/bsd-3-clause	permissive	https://ctdbase.org/about/legal.jsp	custom	ctd	disbiome
kg-monarch	KnowledgeGraph	conflict	https://creativecommons.org/publicdomain/zero/1.0/	public domain	https://www.alliancegenome.org/privacy-warranty-licensing	custom	alliance|ctd|xenbase	dictybase|panther
kg-predict	KnowledgeGraph	declared	https://www.elsevier.com/open-access/userlicense/1.0/	custom	https://www.gtexportal.org/home/license	custom	gtex|omim|umls	faers
kg4sl	KnowledgeGraph	unresolved						
kinace	Aggregator	conflict	https://creativecommons.org/licenses/by/4.0/	permissive	https://www.kegg.jp/feedback/copyright.html	custom	kegg	coralkinome|darkkinasekb|kinhub|phosphositeplus
knowwheregraph	KnowledgeGraph	conflict	https://creativecommons.org/licenses/by/4.0/	permissive	GADM license (free for academic/non-commercial use)	non-commercial	gadm	bluesky|hifld|mtbs|usdm
lncrnalyzr	KnowledgeGraph	conflict	https://creativecommons.org/licenses/by-nc-sa/4.0/	non-commercial	https://www.gtexportal.org/home/license	custom	gtex|kegg	
malacards	Aggregator	no-upstream						
